"Step","stateleaky-1e-4 - eval_bit_acc","stateleaky-1e-4 - eval_bit_acc__MIN","stateleaky-1e-4 - eval_bit_acc__MAX","stateleaky-5e-4 - eval_bit_acc","stateleaky-5e-4 - eval_bit_acc__MIN","stateleaky-5e-4 - eval_bit_acc__MAX","stateleaky-3e-4 - eval_bit_acc","stateleaky-3e-4 - eval_bit_acc__MIN","stateleaky-3e-4 - eval_bit_acc__MAX","gen2-assoc-eval-5e-4 - eval_bit_acc","gen2-assoc-eval-5e-4 - eval_bit_acc__MIN","gen2-assoc-eval-5e-4 - eval_bit_acc__MAX","gen2-assoc-eval-3e-4 - eval_bit_acc","gen2-assoc-eval-3e-4 - eval_bit_acc__MIN","gen2-assoc-eval-3e-4 - eval_bit_acc__MAX","gen2-assoc-eval-1e-4 - eval_bit_acc","gen2-assoc-eval-1e-4 - eval_bit_acc__MIN","gen2-assoc-eval-1e-4 - eval_bit_acc__MAX"
"10","0.61859375","0.61859375","0.61859375","0.616796875","0.616796875","0.616796875","0.616875","0.616875","0.616875","0.489375","0.489375","0.489375","0.568984375","0.568984375","0.568984375","0.5175","0.5175","0.5175"
"21","0.616484375","0.616484375","0.616484375","0.6196875","0.6196875","0.6196875","0.616640625","0.616640625","0.616640625","0.49421875","0.49421875","0.49421875","0.635625","0.635625","0.635625","0.61375","0.61375","0.61375"
"32","0.62296875","0.62296875","0.62296875","0.62046875","0.62046875","0.62046875","0.61734375","0.61734375","0.61734375","0.5040625","0.5040625","0.5040625","0.651953125","0.651953125","0.651953125","0.655234375","0.655234375","0.655234375"
"43","0.619140625","0.619140625","0.619140625","0.615078125","0.615078125","0.615078125","0.61859375","0.61859375","0.61859375","0.49765625","0.49765625","0.49765625","0.663984375","0.663984375","0.663984375","0.658203125","0.658203125","0.658203125"
"54","0.62296875","0.62296875","0.62296875","0.6196875","0.6196875","0.6196875","0.62140625","0.62140625","0.62140625","0.5059375","0.5059375","0.5059375","0.673515625","0.673515625","0.673515625","0.662109375","0.662109375","0.662109375"
"65","0.623203125","0.623203125","0.623203125","0.619140625","0.619140625","0.619140625","0.6234375","0.6234375","0.6234375","0.5028125","0.5028125","0.5028125","0.6771875","0.6771875","0.6771875","0.67359375","0.67359375","0.67359375"
"76","0.624921875","0.624921875","0.624921875","0.619296875","0.619296875","0.619296875","0.620859375","0.620859375","0.620859375","0.49828125","0.49828125","0.49828125","0.672421875","0.672421875","0.672421875","0.672109375","0.672109375","0.672109375"
"87","0.620546875","0.620546875","0.620546875","0.61796875","0.61796875","0.61796875","0.620859375","0.620859375","0.620859375","0.50328125","0.50328125","0.50328125","0.68125","0.68125","0.68125","0.670703125","0.670703125","0.670703125"
"98","0.621484375","0.621484375","0.621484375","0.6221875","0.6221875","0.6221875","0.62171875","0.62171875","0.62171875","0.50734375","0.50734375","0.50734375","0.676015625","0.676015625","0.676015625","0.673671875","0.673671875","0.673671875"
"109","0.62","0.62","0.62","0.616640625","0.616640625","0.616640625","0.62","0.62","0.62","0.50203125","0.50203125","0.50203125","0.68","0.68","0.68","0.67375","0.67375","0.67375"
