"Step","gen2-spiking - ppl","gen2-spiking - ppl__MIN","gen2-spiking - ppl__MAX","stateleaky-tuned - ppl","stateleaky-tuned - ppl__MIN","stateleaky-tuned - ppl__MAX"
"184","120.69233987816614","120.69233987816614","120.69233987816614","376.7682567407151","376.7682567407151","376.7682567407151"
"265","85.28465053587846","85.28465053587846","85.28465053587846","365.09813430660734","365.09813430660734","365.09813430660734"
"277","","","","341.54231968176293","341.54231968176293","341.54231968176293"
"300","62.48892580900208","62.48892580900208","62.48892580900208","316.6151948091468","316.6151948091468","316.6151948091468"
"317","59.23771580355999","59.23771580355999","59.23771580355999","345.5242019602513","345.5242019602513","345.5242019602513"
"388","54.393678171619776","54.393678171619776","54.393678171619776","337.50908846325984","337.50908846325984","337.50908846325984"
"429","49.29908320081159","49.29908320081159","49.29908320081159","327.17425232990365","327.17425232990365","327.17425232990365"
"476","46.28259701834424","46.28259701834424","46.28259701834424","318.03162766636933","318.03162766636933","318.03162766636933"
"533","41.88669334068883","41.88669334068883","41.88669334068883","313.9500667525261","313.9500667525261","313.9500667525261"
"612","","","","296.2577611430238","296.2577611430238","296.2577611430238"
"651","40.457971260372354","40.457971260372354","40.457971260372354","283.20622559057153","283.20622559057153","283.20622559057153"
"751","36.01421021501207","36.01421021501207","36.01421021501207","299.5649029448273","299.5649029448273","299.5649029448273"
"921","29.218914739043758","29.218914739043758","29.218914739043758","266.5939338187214","266.5939338187214","266.5939338187214"
"947","29.924182670356412","29.924182670356412","29.924182670356412","264.05899681111663","264.05899681111663","264.05899681111663"
"997","31.642849578120167","31.642849578120167","31.642849578120167","267.11168664899765","267.11168664899765","267.11168664899765"
"1020","29.715286917892787","29.715286917892787","29.715286917892787","269.22106483240816","269.22106483240816","269.22106483240816"
"1167","28.026097833044982","28.026097833044982","28.026097833044982","254.27925809967635","254.27925809967635","254.27925809967635"
"1232","","","","247.12496599373517","247.12496599373517","247.12496599373517"
"1252","27.69666572087379","27.69666572087379","27.69666572087379","261.88605012743955","261.88605012743955","261.88605012743955"
"1351","26.532187705202116","26.532187705202116","26.532187705202116","249.9393656909197","249.9393656909197","249.9393656909197"
"1446","24.923396161367688","24.923396161367688","24.923396161367688","257.83660873041475","257.83660873041475","257.83660873041475"
"1501","","","","262.3360129747965","262.3360129747965","262.3360129747965"
"1576","25.269556145223056","25.269556145223056","25.269556145223056","225.11857354660168","225.11857354660168","225.11857354660168"
"1718","26.13946821177714","26.13946821177714","26.13946821177714","247.44593386075474","247.44593386075474","247.44593386075474"
"1741","25.857968710613118","25.857968710613118","25.857968710613118","256.93355226243","256.93355226243","256.93355226243"
"1782","22.337926076129122","22.337926076129122","22.337926076129122","222.23069359531675","222.23069359531675","222.23069359531675"
"1792","","","","252.88952474479285","252.88952474479285","252.88952474479285"
"1821","23.981302639565932","23.981302639565932","23.981302639565932","246.44043862845","246.44043862845","246.44043862845"
"1832","23.733704408819992","23.733704408819992","23.733704408819992","232.39222760931955","232.39222760931955","232.39222760931955"
"1833","22.932344348045014","22.932344348045014","22.932344348045014","227.2929949425384","227.2929949425384","227.2929949425384"
"1933","22.592736096966078","22.592736096966078","22.592736096966078","238.63764867982624","238.63764867982624","238.63764867982624"
"2014","25.988439490814837","25.988439490814837","25.988439490814837","221.17172470761147","221.17172470761147","221.17172470761147"
