"Step","multi-beta-learn - loss","multi-beta-learn - loss__MIN","multi-beta-learn - loss__MAX","single-beta-no-learn-beta - loss","single-beta-no-learn-beta - loss__MIN","single-beta-no-learn-beta - loss__MAX","single-beta-learn-beta - loss","single-beta-learn-beta - loss__MIN","single-beta-learn-beta - loss__MAX"
"59","5.975417076828536","5.975417076828536","5.975417076828536","5.960567382570237","5.960567382570237","5.960567382570237","5.82881363760112","5.82881363760112","5.82881363760112"
"72","5.836068491994599","5.836068491994599","5.836068491994599","5.950601750467745","5.950601750467745","5.950601750467745","5.839564233220804","5.839564233220804","5.839564233220804"
"118","5.888292026861932","5.888292026861932","5.888292026861932","5.913879582748705","5.913879582748705","5.913879582748705","5.844698594703337","5.844698594703337","5.844698594703337"
"148","5.774527284520618","5.774527284520618","5.774527284520618","5.85748814955135","5.85748814955135","5.85748814955135","5.914185552921826","5.914185552921826","5.914185552921826"
"150","5.762963306983253","5.762963306983253","5.762963306983253","5.878811827640399","5.878811827640399","5.878811827640399","5.807948888854642","5.807948888854642","5.807948888854642"
"153","5.719443470057759","5.719443470057759","5.719443470057759","5.816441517761013","5.816441517761013","5.816441517761013","5.875082381904296","5.875082381904296","5.875082381904296"
"154","5.853840699747726","5.853840699747726","5.853840699747726","5.855601638195044","5.855601638195044","5.855601638195044","5.860591935987841","5.860591935987841","5.860591935987841"
"163","5.836107305360908","5.836107305360908","5.836107305360908","5.823434606481482","5.823434606481482","5.823434606481482","5.825677584134615","5.825677584134615","5.825677584134615"
"184","5.8009394943118755","5.8009394943118755","5.8009394943118755","5.774229735569453","5.774229735569453","5.774229735569453","5.8404082272376545","5.8404082272376545","5.8404082272376545"
"224","5.768578745813009","5.768578745813009","5.768578745813009","5.770763738384059","5.770763738384059","5.770763738384059","5.8278369461424635","5.8278369461424635","5.8278369461424635"
"249","5.727884586387903","5.727884586387903","5.727884586387903","5.793723011451028","5.793723011451028","5.793723011451028","5.6662460586408825","5.6662460586408825","5.6662460586408825"
