"Step","stateleaky - ppl","stateleaky - ppl__MIN","stateleaky - ppl__MAX","leaky - ppl","leaky - ppl__MIN","leaky - ppl__MAX"
"0","","","","50310.65537833735","50310.65537833735","50310.65537833735"
"1","","","","49484.2509634038","49484.2509634038","49484.2509634038"
"3","","","","42837.31595471321","42837.31595471321","42837.31595471321"
"4","","","","34898.96573608595","34898.96573608595","34898.96573608595"
"5","","","","24035.07432672087","24035.07432672087","24035.07432672087"
"7","","","","6746.041365275476","6746.041365275476","6746.041365275476"
"8","","","","3554.1906451006753","3554.1906451006753","3554.1906451006753"
"9","","","","2339.1433650869963","2339.1433650869963","2339.1433650869963"
"10","","","","1752.9068986227367","1752.9068986227367","1752.9068986227367"
"11","","","","1255.9859303627852","1255.9859303627852","1255.9859303627852"
"14","","","","659.7921073368152","659.7921073368152","659.7921073368152"
"15","","","","544.8667092922846","544.8667092922846","544.8667092922846"
"16","","","","474.00716773126845","474.00716773126845","474.00716773126845"
"17","","","","459.2994299880639","459.2994299880639","459.2994299880639"
"18","","","","425.6305626152409","425.6305626152409","425.6305626152409"
"19","","","","450.7568483737433","450.7568483737433","450.7568483737433"
"20","","","","436.29754397044917","436.29754397044917","436.29754397044917"
"21","","","","422.59041808638324","422.59041808638324","422.59041808638324"
"22","","","","431.4212131991277","431.4212131991277","431.4212131991277"
"25","","","","428.6186560526404","428.6186560526404","428.6186560526404"
"26","","","","401.51476368314815","401.51476368314815","401.51476368314815"
"27","","","","414.9022622422875","414.9022622422875","414.9022622422875"
"28","","","","405.32468748873043","405.32468748873043","405.32468748873043"
"29","","","","404.3675534811527","404.3675534811527","404.3675534811527"
"30","","","","451.6789509731507","451.6789509731507","451.6789509731507"
"31","","","","435.97351832642033","435.97351832642033","435.97351832642033"
"32","","","","400.6770043243683","400.6770043243683","400.6770043243683"
"33","","","","417.13316190901446","417.13316190901446","417.13316190901446"
"34","","","","417.08249526045256","417.08249526045256","417.08249526045256"
"35","","","","438.2136311685998","438.2136311685998","438.2136311685998"
"36","","","","389.97981821506016","389.97981821506016","389.97981821506016"
"38","","","","430.79378491535715","430.79378491535715","430.79378491535715"
"39","","","","413.7251029378577","413.7251029378577","413.7251029378577"
"40","","","","401.8036874939608","401.8036874939608","401.8036874939608"
"41","","","","394.30273543622553","394.30273543622553","394.30273543622553"
"42","","","","400.59219080205327","400.59219080205327","400.59219080205327"
"43","","","","401.1419467546004","401.1419467546004","401.1419467546004"
"44","","","","402.24085311637674","402.24085311637674","402.24085311637674"
"45","","","","399.6845253631867","399.6845253631867","399.6845253631867"
"46","","","","388.37144294408284","388.37144294408284","388.37144294408284"
"47","","","","380.59730542144104","380.59730542144104","380.59730542144104"
"48","","","","394.556297002763","394.556297002763","394.556297002763"
"50","","","","381.23642664480593","381.23642664480593","381.23642664480593"
"51","","","","388.75450510841455","388.75450510841455","388.75450510841455"
"52","","","","386.87427818723125","386.87427818723125","386.87427818723125"
"53","","","","397.1250494928526","397.1250494928526","397.1250494928526"
"54","","","","392.921347121113","392.921347121113","392.921347121113"
"55","","","","385.74817856180005","385.74817856180005","385.74817856180005"
"56","","","","407.81991424991327","407.81991424991327","407.81991424991327"
"57","","","","380.2377140364239","380.2377140364239","380.2377140364239"
"58","","","","389.67574602817075","389.67574602817075","389.67574602817075"
"59","355.87705118696937","355.87705118696937","355.87705118696937","373.55697338764844","373.55697338764844","373.55697338764844"
"60","","","","391.14386773393085","391.14386773393085","391.14386773393085"
"62","","","","365.5384962006622","365.5384962006622","365.5384962006622"
"63","","","","378.3067548878628","378.3067548878628","378.3067548878628"
"65","","","","365.01026088323357","365.01026088323357","365.01026088323357"
